event,jet1pt,jet1eta,jet1phi,jet1ene,jet1CvsAll,jet2pt,jet2eta,jet2phi,jet2ene,jet2CvsAll,jet3pt,jet3eta,jet3phi,jet3ene,jet3CvsAll,jet4pt,jet4eta,jet4phi,jet4ene,jet4CvsAll,
60,193.189,1.7682,-1.7204,582.801,0.16966,166.835,0.645464,2.08843,203.207,0.49035,122.783,1.1925,1.39288,221.177,0.233032,101.611,-3.15301,-0.666791,1191.4,-nan
221,204.057,0.586543,-0.282269,240.616,0.946362,66.5599,-2.90814,3.01667,611.661,-nan,39.0515,0.722157,-1.95766,50.0021,0.395112,23.027,-2.50099,2.86307,141.367,-nan
241,482.243,1.96318,-1.25649,1751.43,0.0961413,347.806,0.418701,1.67538,379.498,0.560234,99.4887,-2.4644,2.89857,589.194,0.0676588,62.2045,1.14347,1.2496,107.673,0.8781
260,331.962,1.82429,1.74858,1056.15,0.124373,226.139,-0.711929,-1.1701,286.44,0.412933,88.3454,-0.124334,-1.77559,89.6716,0.966219,37.5799,-3.36408,-2.96963,543.847,-nan
366,128.413,1.91256,0.0631937,444.367,0.131898,113.737,-0.134258,-1.84203,114.975,0.227166,89.3617,-2.99723,1.94409,897.319,-nan,56.7973,-0.88322,2.95041,80.6517,0.672809
408,101.349,0.0668221,1.29617,102.432,0.736041,90.4097,3.43991,-1.83322,1411.13,-nan,78.8253,-2.0472,2.25749,310.435,0.0966048,69.4025,0.410815,-0.77243,76.596,0.229245
417,172.389,2.92195,-2.03294,1606.08,-nan,138.826,-0.811968,0.79707,188.281,0.0362691,112.665,-1.95875,-3.12089,407.647,0.0911819,68.2599,-0.834085,0.214258,93.6688,0.916872
447,201.066,-0.3043,2.66157,211.713,0.734326,153.071,-2.51288,0.229486,950.803,-nan,65.4777,-2.39976,-0.363224,363.877,0.387431,64.1179,3.06526,-1.73321,688.882,-nan
474,149.452,0.136557,-1.63954,151.475,0.877182,101.72,-2.69086,1.49293,753.532,-nan,98.0579,0.786166,-2.56427,131.631,0.103686,82.8353,-1.19085,0.634377,149.409,0.236968
577,184.49,-1.84435,-1.14719,598.087,0.000315942,82.12,0.127728,1.97904,83.3242,0.000585703,79.0266,-3.64174,0.798692,1508.82,-nan,60.6378,0.944387,2.74719,90.0276,0.373239
729,115.83,1.52719,-1.8576,279.631,0.749121,113.766,3.05219,1.86638,1206.49,-nan,105.807,0.888452,-0.808354,151.396,0.795414,61.2379,-0.678123,1.09838,76.4665,0.165611
847,144.638,-2.57318,-1.78443,953.5,-nan,119.07,0.454669,1.23537,134.22,0.0960784,88.2022,0.329994,1.86303,93.4471,0.969625,50.9501,4.36076,-0.983195,1995.46,-nan
879,323.264,-3.10084,-3.04507,3598.25,-nan,139.852,-1.24096,0.450015,262.597,0.745977,137.614,-0.628111,0.833694,166.38,0.985302,126.909,3.19517,-1.49113,1551.89,-nan
912,132.567,1.77397,1.715,402.348,0.7814,95.0087,3.59743,-0.261766,1735.42,-nan,82.6991,-3.27311,-1.57256,1092.97,-nan,68.6412,2.24513,-3.06562,327.966,0.0695081
1191,250.012,-1.88833,0.150295,845.343,0.116697,114.599,0.661563,-3.02413,141.954,0.942004,112.367,1.74519,-2.84826,331.712,0.428623,50.5825,2.49785,-2.98018,309.597,0.193905
1213,171.286,-2.71899,-2.76013,1304.43,-nan,117.759,0.925482,-0.563769,172.456,0.0634405,74.9551,4.09617,0.96119,2253.4,-nan,57.8626,1.13007,0.875947,99.4194,0.330559
1320,157.96,-1.25074,2.99611,298.793,0.108872,98.2864,0.727347,-0.513921,125.624,0.959145,67.4528,-0.532178,0.280145,77.6872,0.924918,38.7604,3.47472,-0.207603,626.39,-nan
1399,209.349,-2.58928,0.398812,1402.32,-nan,132.427,-0.253641,3.06888,137.226,0.984807,98.8993,3.348,-2.18225,1408.4,-nan,12.12,-2.27799,-0.162276,59.7622,-nan
1494,167.74,0.633278,2.74531,203.076,0.928812,85.1901,4.06747,-0.971825,2488.68,-nan,80.9303,-1.69214,-0.430919,227.572,0.116616,32.9928,-2.34441,1.75016,173.695,0.135991
1520,157.31,-1.92489,-0.679578,550.745,0.145502,83.5652,-0.344808,2.64276,88.8941,0.957561,69.9185,2.94496,-1.08979,666.501,-nan,66.107,-1.29869,2.08021,130.364,0.218384
1569,333.717,-0.503914,3.00293,378.403,0.94077,151.694,-0.047721,-0.405448,152.186,0.182875,147.342,0.965118,0.42315,222.245,0.0342836,82.5386,-4.21628,-0.357116,2797.9,-nan
1701,156.844,1.08092,-2.1889,258.142,0.968241,147.666,3.05692,0.430447,1573.35,-nan,76.4317,1.10985,3.00025,128.864,0.829243,51.5104,-2.84042,0.840083,442.518,-nan
1866,234.802,-2.71068,-1.84952,1773.49,-nan,150.416,2.30939,0.979588,764.728,0.202351,97.0482,0.500293,1.95073,109.912,0.918763,16.7604,3.54316,-2.53616,290.017,-nan
2065,122.277,0.052409,-0.313511,123.194,0.910999,98.9963,3.24441,-2.39237,1271.42,-nan,85.6182,-2.8128,2.49435,715.65,-nan,50.9224,-0.75118,0.960892,66.2533,0.981344
2129,111.291,-0.161389,1.30603,112.932,0.756263,110.247,-0.585772,-1.45082,130.683,0.129562,71.6399,-0.276858,3.05583,74.9997,0.834659,38.0686,4.18331,1.02819,1248.62,-nan
2196,314.087,2.00936,0.175537,1192.57,0.0842721,214.119,1.41661,-2.69324,468.313,0.982094,131.792,1.82076,-3.07563,417.794,0.584402,71.388,-1.88413,0.937196,240.437,0.125583
2380,151.172,-1.90961,1.69025,521.593,0.0829277,110.856,-3.41153,-0.837581,1681.99,-nan,96.4298,2.31185,-1.98232,491.652,0.0696197,89.1759,2.68144,-1.36332,654.466,-nan
2408,289.731,0.977179,2.22269,441.529,0.0856356,137.562,-0.662639,-0.78128,169.354,0.952662,94.7699,-1.00985,-1.57219,147.641,0.958752,56.4708,-4.12117,-0.253322,1740.65,-nan
2438,105.188,0.892594,-2.83351,151.269,0.944382,101.037,0.877821,-1.80473,142.841,0.864009,78.0583,-4.07409,2.79287,2295.48,-nan,42.3531,4.24936,0.735774,1483.95,-nan
2467,157.407,0.88172,-2.97611,222.984,0.0810389,140.204,-3.23937,-0.266267,1791.62,-nan,82.3973,-1.0261,1.96824,130.141,0.136141,34.6217,-0.851332,-0.429368,48.0582,0.970694
2485,151.312,-0.961794,-0.408678,227.104,0.770404,125.001,-2.6024,2.90735,848.252,-nan,87.318,1.3915,1.1087,186.612,0.298356,62.4059,-0.233988,-1.58454,65.1417,0.911209
2545,170.89,1.74535,1.24697,504.51,0.208714,161.294,-2.50498,-2.11526,994.115,-nan,70.2673,0.322672,-0.295247,74.5715,0.571639,41.8135,1.31329,-2.71298,83.5562,0.834101
2553,131.375,0.381701,-1.0845,141.798,0.863615,110.323,-2.10993,1.66614,461.817,0.0520368,103.475,-0.159607,-2.1984,105.06,0.958521,60.7958,2.38247,1.47796,332.128,0.119548
2667,163.795,-3.07408,0.580873,1775.26,-nan,88.9783,-1.09047,-2.2896,147.683,0.870259,62.8464,-0.872516,2.95353,88.4527,0.0632203,46.0434,3.50653,-0.960353,768.066,-nan
3466,207.908,0.901194,0.891401,298.704,0.0890218,114.485,-2.37457,-2.0111,620.568,0.707166,87.3628,-1.23166,-2.55648,162.839,0.947827,45.4112,-3.50968,-2.31884,759.913,-nan
3501,259.53,-0.293206,0.469342,272.753,0.140645,196.885,-1.79221,3.08023,607.487,0.123099,123.804,2.34983,-1.8357,655.007,0.0932096,53.8643,0.489743,1.0957,60.9912,0.562966
3521,253.124,-1.90223,2.11942,867.102,0.0569534,213.844,0.387524,-1.60456,230.959,0.631742,151.789,2.55101,1.0285,978.941,-nan,67.4568,0.00746017,-0.541414,68.0224,0.9817
